No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,WANG Yimei,WANG Y.M.,"1.90/6'3""",90/198,318,305,11 JAN 1988,"Liaoning, Liaoning (CHN)",19,8,157,184,China,F
2,MI Yang,MI Y.,"1.80/5'11""",70/154,305,298,20 JAN 1989,"Tianjin, Tianjin (CHN)",0,0,42,42,China,F
4,HUI Ruoqi,HUI R.Q.,"1.89/6'2""",70/154,310,305,04 MAR 1991,"Jiangsu, Nanjing (CHN)",0,0,78,78,China,F
6,CHU Jinling,CHU J.L.,"1.86/6'1""",75/165,290,280,29 JUL 1984,"Liaoning, Liaoning (CHN)",11,0,101,112,China,F
7,ZHANG Xian,ZHANG X.,"1.67/5'6""",57/126,270,260,16 MAR 1985,"Liaoning, Shenyang (CHN)",11,0,101,112,China,F
8,WEI Qiuyue,WEI Q.Y.,"1.82/6'0""",65/143,308,300,26 SEP 1988,"Tianjin, Tianjin (CHN)",19,8,173,200,China,F
9,YANG Junjing,YANG J.J.,"1.90/6'3""",70/154,305,300,15 MAY 1989,"Army, Beijing (CHN)",0,0,42,42,China,F
10,SHAN Danna,SHAN D.N.,"1.68/5'6""",60/132,295,285,08 NOV 1992,"Zhejiang, Hangzhou (CHN)",0,0,35,35,China,F
12,XU Yunli,XU Y.L.,"1.96/6'5""",75/165,310,307,02 AUG 1987,"Fujian, Fuzhou (CHN)",19,8,173,200,China,F
15,MA Yunwen,MA Y.W.,"1.86/6'1""",70/154,305,307,19 OCT 1986,"Beijing, Beijing (CHN)",0,0,162,189,China,F
17,ZHANG Lei,ZHANG L.,"1.81/5'11""",71/157,316,310,11 JAN 1985,"Shanghai, Shanghai (CHN)",11,0,58,69,China,F
