No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,National Selections WCH,National Selections OG,National Selections Int,National Selections Tot,Country,Sex
1,,MASTRANGELO Luigi,MASTRANGELO,"2.02/6'8""",90/198,368,336,17 AUG 1975,"Lube Banca Lannutti Cuneo, Cuneo (ITA)",29,24,297,350,Italy,M
3,,PARODI Simone,PARODI,"1.96/6'5""",82/181,350,330,19 JUN 1986,"Lube Banca Marche, Macerata (ITA)",9,0,0,76,Italy,M
6,,PAPI Samuele,PAPI,"1.90/6'3""",84/185,355,340,20 MAY 1973,"Copra Elior Piacenza, Piacenza (ITA)",30,24,291,345,Italy,M
7,,LASKO Michal,LASKO,"2.05/6'9""",92/203,355,340,31 MAR 1981,"Jastrzebski Wegiel, Wegiel (POL)",20,0,0,67,Italy,M
9,,ZAYTSEV Ivan,ZAYTSEV,"2.02/6'8""",92/203,355,340,02 OCT 1988,"Lube Banca Marche, Macerata (ITA)",9,0,0,76,Italy,M
10,,BONINFANTE Dante,BONINFANTE,"1.88/6'2""",88/194,340,328,07 MAR 1977,"M. Roma Volley, Roma (ITA)",0,0,0,67,Italy,M
11,C,SAVANI Cristian,SAVANI,"1.94/6'4""",83/183,355,335,22 FEB 1982,"Lube Banca Marche, Macerata (ITA)",20,0,164,184,Italy,M
13,,TRAVICA Dragan,TRAVICA,"2.00/6'7""",85/187,344,332,28 AUG 1986,"Lube Banca Marche, Macerata (ITA)",9,0,0,76,Italy,M
14,,FEI Alessandro,FEI,"2.04/6'8""",90/198,360,335,29 NOV 1978,"Copra Elior Piacenza, Piacenza (ITA)",41,24,265,330,Italy,M
15,L,BIRARELLI Emanuele,BIRARELLI,"2.00/6'7""",88/194,344,332,08 FEB 1981,"Trentino Diatec, Trento (ITA)",7,0,0,154,Italy,M
16,L,BARI Andrea,BARI,"1.85/6'1""",74/163,327,290,05 MAR 1988,"Trentino Diatec, Trento (ITA)",2,0,0,24,Italy,M
17,,GIOVI Andrea,GIOVI,"1.85/6'1""",74/163,327,290,19 AUG 1983,"Sir Safety Perugia, Perugia (ITA)",0,0,0,24,Italy,M
