No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Claudino Fabiana,Fabiana,24.01.85,193,76,314,293,14,13,76,103,Dentil / Praia Clube,Brazil,F
2,Barreto Juciely Cristina,Juciely,18.12.80,184,76,304,287,14,10,58,86,Rexona Sesc,Brazil,F
3,Lins Danielle,Dani Lins,05.01.85,181,70,302,283,14,13,48,75,Volei Nestle-Osasco,Brazil,F
4,Da Silva Ana Carolina,Carol,08.02.91,187,73,312,290,7,7,36,50,Rexona Sesc,Brazil,F
5,Da Silva Adenizia,Adenizia,18.12.85,186,70,319,293,14,13,45,72,Savino Del Bene Volley,Brazil,F
6,Menezes Thaísa,Thaísa,15.05.87,196,80,324,300,14,13,39,66,Eczacibasi Vitra,Brazil,F
7,Rios Naiane De Almeida,Naiane,29.11.94,180,73,296,283,0,0,0,0,E.C. Pinheiros,Brazil,F
8,Pereira De Carvalho Endres Jaqueline,Jaque,31.12.83,186,73,312,292,14,13,72,85,SESI-SP,Brazil,F
9,Ratzke Roberta,Roberta,28.12.90,185,70,302,287,7,7,36,50,Rexona Sesc,Brazil,F
10,Guimaraes Gabriela Braga,Gabi,19.05.94,179,69,298,280,0,0,0,0,Rexona Sesc,Brazil,F
11,Caixeta Tandara,Tandara,30.10.88,186,82,325,289,7,7,41,55,Rexona Sesc,Brazil,F
12,Pereira Natalia,Natalia,04.04.89,183,72,305,285,14,13,50,77,Fenerbahce,Brazil,F
13,Costa Do Paula Blasioli Sheilla,Sheilla,01.07.83,185,74,314,295,14,13,75,102,Vakifbank,Brazil,F
14,Costa Mariana,Mariana,30.07.86,184,71,301,276,0,0,0,0,Volero Zurich,Brazil,F
15,Borgo Bedani Da Cruz Ana Paula,Paula Borgo,20.10.93,183,77,306,290,0,0,0,0,Sao Caetano,Brazil,F
16,Rodrigues Fernanda,Fe Garay,10.05.86,182,74,306,290,7,7,54,68,Dinamo Krasnodar,Brazil,F
17,Almeida De Sousa Alves Josefa Fabiola,Fabiola,03.02.83,184,74,302,283,0,0,0,0,Volero Zurich,Brazil,F
18,Brait Camila,C. Brait,03.10.88,169,65,276,266,0,0,0,0,Minas Tennis Club,Brazil,F
